dog_id	vendor_name	category_name	date_expense	amount_expense
132	Pet Kingdom	Dental care	2024-10-14	0.37
134	Dr Brown	Dental care	2024-11-04	77.46
134	Pawerica Pet Store	Dental care	2024-10-10	14.35
137	Dr Arnold	Dental care	2024-10-22	68.20
138	Dr Arnold	Dental care	2024-10-23	27.45
139	Kahoots Pet	Dental care	2024-10-28	12.04
140	Dr Arnold	Dental care	2024-12-17	243.00
140	Dr Jones	Dental care	2024-11-01	25.89
140	Dr Towers	Dental care	2024-12-06	183.98
140	TagWorks	Dental care	2024-12-17	8.05
143	Decker's Dog and Cat	Dental care	2024-11-07	54.04
143	Pawerica Pet Store	Dental care	2024-11-07	20.48
144	Kahoots Pet	Dental care	2024-11-16	9.82
144	Pet Kingdom	Dental care	2024-11-14	32.66
144	Pet Kingdom	Dental care	2024-11-17	9.59
147	Dr Hudson	Dental care	2024-12-09	21.13
147	Pet Kingdom	Dental care	2024-11-18	20.97
147	Pet Kingdom	Dental care	2024-12-05	16.17
147	TagWorks	Dental care	2024-12-17	56.07
148	Decker's Dog and Cat	Dental care	2024-12-05	8.51
148	Dr Wilson	Dental care	2024-12-06	159.97
148	Dr Wilson	Dental care	2024-12-26	65.32
148	Petco	Dental care	2024-12-06	10.34
149	Pet Group Inc	Dental care	2024-11-25	3.42
150	Dr Brown	Dental care	2024-12-20	188.74
150	Dr Hudson	Dental care	2024-12-26	237.99
150	Dr Jones	Dental care	2024-12-26	147.89
150	Dr Smith	Dental care	2024-12-25	102.68
150	Dr Towers	Dental care	2025-01-01	98.49
151	Dr Jones	Dental care	2024-12-14	231.82
151	Dr Smith	Dental care	2024-12-19	272.08
153	Pet Group Inc	Dental care	2024-12-14	43.77
154	Canine Learning Centers	Dental care	2024-12-21	7.30
154	Dr Arnold	Dental care	2024-12-30	181.12
154	Dr Brown	Dental care	2024-12-30	34.33
154	Dr Wilson	Dental care	2024-12-30	5.72
154	TagWorks	Dental care	2024-12-30	16.86
157	Dr Arnold	Dental care	2024-12-20	260.08
157	Dr Towers	Dental care	2024-12-19	63.16
159	Dr Arnold	Dental care	2025-01-05	60.21
159	Dr Hudson	Dental care	2025-01-11	261.50
159	Dr Smith	Dental care	2025-01-23	225.90
159	Dr Towers	Dental care	2025-01-02	42.60
159	Dr Wilson	Dental care	2025-01-06	264.20
159	Pawerica Pet Store	Dental care	2025-01-11	53.17
159	Pet Kingdom	Dental care	2025-01-09	70.23
159	TagWorks	Dental care	2025-01-05	50.72
159	TagWorks	Dental care	2025-01-25	8.64
161	Dr Towers	Dental care	2025-01-08	133.88
161	Petco	Dental care	2025-01-05	11.52
162	Arrieros Pet Shop	Dental care	2025-01-21	61.77
162	Canine Learning Centers	Dental care	2025-01-23	48.70
162	Dr Arnold	Dental care	2025-01-08	288.37
162	Dr Arnold	Dental care	2025-01-14	289.40
162	Dr Brown	Dental care	2025-02-09	174.96
162	Dr Hudson	Dental care	2025-01-22	44.01
162	Dr Wilson	Dental care	2025-01-12	268.24
162	Kahoots Pet	Dental care	2025-01-12	10.42
163	Dr Arnold	Dental care	2025-01-14	11.71
163	Dr Smith	Dental care	2025-01-14	178.68
163	Pet Group Inc	Dental care	2025-01-09	19.58
164	Dr Brown	Dental care	2025-01-13	168.68
164	Dr Towers	Dental care	2025-01-24	237.14
164	Kahoots Pet	Dental care	2025-01-07	24.79
164	TagWorks	Dental care	2025-01-13	15.05
165	TagWorks	Dental care	2025-01-10	23.12
166	Canine Learning Centers	Dental care	2025-01-14	21.48
167	Arrieros Pet Shop	Dental care	2025-01-15	0.39
171	Dr Rozenman	Dental care	2025-01-20	196.86
174	Arrieros Pet Shop	Dental care	2025-02-03	10.48
174	Dr Hudson	Dental care	2025-02-12	255.73
174	Pet Kingdom	Dental care	2025-02-07	18.29
174	TagWorks	Dental care	2025-02-13	22.33
177	Dr Smith	Dental care	2025-02-09	178.15
179	Canine Learning Centers	Dental care	2025-02-04	22.74
182	Pawerica Pet Store	Dental care	2025-02-12	56.24
183	Kahoots Pet	Dental care	2025-02-14	2.57
184	Dr Arnold	Dental care	2025-02-22	276.79
184	Pet Kingdom	Dental care	2025-02-17	16.87
187	Dr Rozenman	Dental care	2025-02-25	229.19
187	Dr Wilson	Dental care	2025-02-20	15.63
187	Kahoots Pet	Dental care	2025-02-25	17.13
187	Pawerica Pet Store	Dental care	2025-02-19	6.07
187	Pet Kingdom	Dental care	2025-02-28	23.11
188	Pet Group Inc	Dental care	2025-02-23	49.12
190	Pet Kingdom	Dental care	2025-02-26	16.73
6	Dr Jones	Food supplies	2024-01-17	186.14
6	Dr Wilson	Food supplies	2023-11-30	102.71
6	Petco	Food supplies	2023-11-28	12.82
6	Unleashed by Petco	Food supplies	2023-11-28	20.55
9	Dr Jones	Food supplies	2023-11-06	126.86
9	Petco	Food supplies	2023-12-17	14.58
10	Arrieros Pet Shop	Food supplies	2023-11-13	5.38
14	Dr Towers	Food supplies	2023-11-22	162.24
21	Canine Learning Centers	Food supplies	2024-02-08	51.12
21	Decker's Dog and Cat	Food supplies	2024-01-30	2.86
21	Pet Group Inc	Food supplies	2024-01-10	20.60
21	Pet Kingdom	Food supplies	2024-01-30	33.56
23	Arrieros Pet Shop	Food supplies	2024-01-25	45.30
23	Kahoots Pet	Food supplies	2023-12-21	12.17
23	Pet Kingdom	Food supplies	2024-01-25	25.73
23	TagWorks	Food supplies	2023-12-25	13.80
25	Dr Wilson	Food supplies	2024-01-28	259.57
25	Kahoots Pet	Food supplies	2024-02-10	14.16
32	Pet Kingdom	Food supplies	2024-01-08	39.49
35	Canine Learning Centers	Food supplies	2024-02-01	20.02
35	Pawerica Pet Store	Food supplies	2024-01-20	22.55
35	Unleashed by Petco	Food supplies	2024-02-01	20.81
39	Dr Brown	Food supplies	2024-01-21	93.87
40	Kahoots Pet	Food supplies	2024-01-23	19.87
41	Dr Rozenman	Food supplies	2024-02-21	236.62
41	Dr Wilson	Food supplies	2024-01-29	82.94
42	Unleashed by Petco	Food supplies	2024-01-30	23.40
43	Dr Brown	Food supplies	2024-02-23	96.89
43	Kahoots Pet	Food supplies	2024-02-23	68.30
44	TagWorks	Food supplies	2024-02-07	13.41
45	Arrieros Pet Shop	Food supplies	2024-03-25	58.35
45	Pawerica Pet Store	Food supplies	2024-03-10	13.64
45	Pet Group Inc	Food supplies	2024-02-20	6.36
49	Arrieros Pet Shop	Food supplies	2024-02-14	7.60
49	Arrieros Pet Shop	Food supplies	2024-03-02	8.12
49	Dr Arnold	Food supplies	2024-03-23	40.01
49	Pawerica Pet Store	Food supplies	2024-03-23	23.26
49	Petco	Food supplies	2024-03-16	19.37
51	Dr Arnold	Food supplies	2024-04-11	147.53
51	Dr Smith	Food supplies	2024-04-11	39.46
51	Pawerica Pet Store	Food supplies	2024-03-12	12.93
51	Pet Group Inc	Food supplies	2024-04-11	53.01
51	Pet Kingdom	Food supplies	2024-02-21	13.00
51	Pet Kingdom	Food supplies	2024-03-18	7.40
54	Unleashed by Petco	Food supplies	2024-03-08	12.96
57	Decker's Dog and Cat	Food supplies	2024-03-13	12.92
57	Decker's Dog and Cat	Food supplies	2024-03-28	1.61
57	Dr Smith	Food supplies	2024-03-04	104.17
58	Arrieros Pet Shop	Food supplies	2024-04-25	25.24
59	TagWorks	Food supplies	2024-05-13	0.34
60	Pet Kingdom	Food supplies	2024-03-15	9.74
63	Petco	Food supplies	2024-03-22	9.82
64	Unleashed by Petco	Food supplies	2024-04-04	50.12
66	Canine Learning Centers	Food supplies	2024-04-25	53.66
67	Decker's Dog and Cat	Food supplies	2024-05-03	33.70
69	Dr Towers	Food supplies	2024-04-12	70.78
70	Decker's Dog and Cat	Food supplies	2024-04-21	10.90
70	Pawerica Pet Store	Food supplies	2024-04-21	24.16
71	Dr Brown	Food supplies	2024-04-28	273.15
72	Petco	Food supplies	2024-06-11	14.37
74	Decker's Dog and Cat	Food supplies	2024-05-02	21.85
75	Decker's Dog and Cat	Food supplies	2024-05-17	6.30
77	Dr Brown	Food supplies	2024-05-25	265.15
77	Dr Smith	Food supplies	2024-05-25	20.55
78	Dr Smith	Food supplies	2024-05-20	208.82
80	Dr Towers	Food supplies	2024-05-25	173.66
80	Dr Towers	Food supplies	2024-06-13	97.22
80	Petco	Food supplies	2024-06-05	22.69
81	Dr Smith	Food supplies	2024-07-17	2.74
81	Dr Towers	Food supplies	2024-06-11	298.43
81	Pawerica Pet Store	Food supplies	2024-06-29	19.04
88	Dr Hudson	Food supplies	2024-06-18	292.24
91	Pawerica Pet Store	Food supplies	2024-06-29	45.45
95	Dr Brown	Food supplies	2024-07-24	255.11
95	Kahoots Pet	Food supplies	2024-08-16	36.03
95	Pet Kingdom	Food supplies	2024-07-15	69.16
98	Canine Learning Centers	Food supplies	2024-07-06	31.29
98	Pawerica Pet Store	Food supplies	2024-07-07	20.62
101	Canine Learning Centers	Food supplies	2024-07-18	31.67
101	Dr Smith	Food supplies	2024-07-21	117.65
103	Petco	Food supplies	2024-08-15	9.93
103	Unleashed by Petco	Food supplies	2024-08-08	45.51
104	Dr Rozenman	Food supplies	2024-09-15	184.71
106	Arrieros Pet Shop	Food supplies	2024-10-01	37.84
106	Kahoots Pet	Food supplies	2024-08-09	39.05
106	Kahoots Pet	Food supplies	2024-10-01	58.75
106	TagWorks	Food supplies	2024-12-01	62.89
106	TagWorks	Food supplies	2025-01-09	12.03
111	Dr Towers	Food supplies	2024-08-26	258.53
112	Petco	Food supplies	2024-08-12	33.15
112	TagWorks	Food supplies	2024-08-09	12.91
113	Dr Arnold	Food supplies	2024-08-14	180.01
113	Dr Jones	Food supplies	2024-09-12	178.61
113	Dr Rozenman	Food supplies	2024-08-22	186.81
113	Dr Wilson	Food supplies	2024-08-09	142.05
113	Pet Group Inc	Food supplies	2024-09-12	65.84
113	Unleashed by Petco	Food supplies	2024-08-20	40.95
113	Unleashed by Petco	Food supplies	2024-09-10	11.75
115	Dr Wilson	Food supplies	2024-08-16	247.26
116	Decker's Dog and Cat	Food supplies	2024-09-07	13.02
116	Dr Hudson	Food supplies	2024-09-02	0.19
116	TagWorks	Food supplies	2024-09-07	64.21
116	Unleashed by Petco	Food supplies	2024-09-07	2.38
118	Decker's Dog and Cat	Food supplies	2024-08-18	47.20
119	Dr Smith	Food supplies	2024-08-17	0.82
119	Dr Towers	Food supplies	2024-08-19	30.92
121	Dr Smith	Food supplies	2024-08-27	250.23
122	Kahoots Pet	Food supplies	2024-09-11	15.57
123	Dr Arnold	Food supplies	2024-08-30	181.04
124	Dr Towers	Food supplies	2024-10-04	149.51
124	Pawerica Pet Store	Food supplies	2024-09-25	14.34
124	Petco	Food supplies	2024-09-22	6.18
124	Petco	Food supplies	2024-10-11	4.37
125	Dr Arnold	Food supplies	2024-09-10	28.02
126	Arrieros Pet Shop	Food supplies	2024-09-23	44.47
126	Arrieros Pet Shop	Food supplies	2024-10-02	20.30
126	Dr Arnold	Food supplies	2024-11-30	286.34
126	Dr Hudson	Food supplies	2024-11-12	73.21
126	Dr Hudson	Food supplies	2024-12-08	162.43
126	Dr Wilson	Food supplies	2024-09-10	78.64
126	Pet Group Inc	Food supplies	2024-11-26	28.83
126	Pet Group Inc	Food supplies	2024-12-08	14.44
126	Petco	Food supplies	2024-09-12	38.33
126	TagWorks	Food supplies	2024-10-09	33.29
126	TagWorks	Food supplies	2024-11-10	24.06
126	TagWorks	Food supplies	2024-11-25	0.61
126	Unleashed by Petco	Food supplies	2024-10-09	23.43
128	Dr Rozenman	Food supplies	2024-09-23	287.34
132	Arrieros Pet Shop	Food supplies	2024-10-14	3.62
132	Arrieros Pet Shop	Food supplies	2024-10-24	20.50
132	Dr Jones	Food supplies	2024-10-14	40.13
132	Pet Group Inc	Food supplies	2024-11-14	4.48
133	Dr Smith	Food supplies	2024-10-08	202.86
133	Petco	Food supplies	2024-10-08	72.73
134	Dr Wilson	Food supplies	2024-11-04	268.87
140	Arrieros Pet Shop	Food supplies	2025-01-15	14.81
140	Dr Brown	Food supplies	2024-11-25	228.37
140	Pet Kingdom	Food supplies	2025-01-10	16.86
140	Petco	Food supplies	2024-12-12	20.11
140	TagWorks	Food supplies	2024-11-22	70.59
140	TagWorks	Food supplies	2024-11-27	0.85
140	TagWorks	Food supplies	2024-12-09	45.94
144	Dr Brown	Food supplies	2024-11-17	180.27
146	Arrieros Pet Shop	Food supplies	2024-11-21	31.52
146	Unleashed by Petco	Food supplies	2024-11-17	16.43
147	Dr Brown	Food supplies	2024-12-05	78.01
147	Dr Brown	Food supplies	2024-12-17	295.36
147	TagWorks	Food supplies	2024-12-11	21.97
148	Dr Wilson	Food supplies	2024-12-01	100.88
148	Petco	Food supplies	2025-01-07	70.85
148	Unleashed by Petco	Food supplies	2024-12-05	20.81
149	Arrieros Pet Shop	Food supplies	2024-11-25	15.48
150	Arrieros Pet Shop	Food supplies	2024-12-18	68.96
150	Decker's Dog and Cat	Food supplies	2025-01-01	1.43
150	Dr Hudson	Food supplies	2025-01-06	130.10
150	Dr Rozenman	Food supplies	2024-12-16	40.12
150	Dr Rozenman	Food supplies	2025-01-04	140.06
150	Dr Wilson	Food supplies	2025-01-01	266.63
150	Pet Kingdom	Food supplies	2024-12-22	16.81
151	Canine Learning Centers	Food supplies	2024-12-17	37.43
151	Decker's Dog and Cat	Food supplies	2024-12-22	74.23
151	Dr Towers	Food supplies	2024-12-15	59.83
152	Pet Kingdom	Food supplies	2024-12-17	39.12
154	Dr Hudson	Food supplies	2024-12-21	104.40
154	Dr Towers	Food supplies	2024-12-26	118.22
154	Pet Kingdom	Food supplies	2024-12-15	1.59
155	Pet Kingdom	Food supplies	2024-12-19	18.63
156	Dr Jones	Food supplies	2024-12-18	135.43
156	Dr Smith	Food supplies	2024-12-18	149.04
157	Decker's Dog and Cat	Food supplies	2024-12-18	48.05
157	Dr Hudson	Food supplies	2024-12-18	15.85
158	Petco	Food supplies	2024-12-30	17.99
158	TagWorks	Food supplies	2024-12-30	6.20
159	Dr Brown	Food supplies	2025-01-06	36.81
159	Dr Jones	Food supplies	2025-01-05	168.42
159	Dr Jones	Food supplies	2025-01-19	195.00
160	Dr Hudson	Food supplies	2025-01-03	250.36
160	Dr Jones	Food supplies	2025-01-03	21.71
160	Petco	Food supplies	2025-01-05	61.52
161	Dr Brown	Food supplies	2025-01-12	249.33
161	Petco	Food supplies	2025-01-12	8.89
162	Dr Hudson	Food supplies	2025-01-14	17.10
162	Dr Rozenman	Food supplies	2025-01-07	100.31
162	Pawerica Pet Store	Food supplies	2025-02-08	58.94
162	TagWorks	Food supplies	2025-01-21	49.23
162	Unleashed by Petco	Food supplies	2025-01-23	58.84
163	Dr Brown	Food supplies	2025-01-19	29.11
164	Dr Rozenman	Food supplies	2025-01-11	97.23
165	Kahoots Pet	Food supplies	2025-01-13	70.24
166	Decker's Dog and Cat	Food supplies	2025-01-14	52.93
167	Dr Rozenman	Food supplies	2025-01-20	17.31
170	Canine Learning Centers	Food supplies	2025-01-27	21.67
170	Dr Hudson	Food supplies	2025-01-25	131.06
174	Dr Brown	Food supplies	2025-02-18	158.27
174	Dr Jones	Food supplies	2025-02-12	268.58
182	Pet Kingdom	Food supplies	2025-02-12	30.33
182	TagWorks	Food supplies	2025-02-12	19.49
183	Dr Hudson	Food supplies	2025-02-14	197.03
183	Dr Rozenman	Food supplies	2025-02-24	39.81
183	Dr Towers	Food supplies	2025-03-01	186.09
183	Dr Wilson	Food supplies	2025-02-19	299.24
183	Kahoots Pet	Food supplies	2025-02-26	19.59
184	Kahoots Pet	Food supplies	2025-02-21	5.79
184	Pet Group Inc	Food supplies	2025-02-19	3.02
184	Pet Group Inc	Food supplies	2025-02-25	5.73
184	Unleashed by Petco	Food supplies	2025-02-25	12.02
186	Arrieros Pet Shop	Food supplies	2025-02-18	74.52
186	Kahoots Pet	Food supplies	2025-02-19	35.42
187	Canine Learning Centers	Food supplies	2025-02-25	6.46
187	Dr Towers	Food supplies	2025-02-24	251.25
188	Dr Arnold	Food supplies	2025-02-21	61.22
188	Dr Towers	Food supplies	2025-02-21	209.89
188	Unleashed by Petco	Food supplies	2025-02-25	13.90
189	Decker's Dog and Cat	Food supplies	2025-02-26	17.42
190	Kahoots Pet	Food supplies	2025-02-26	11.76
6	Dr Smith	Grooming supplies	2023-12-31	29.64
6	Pawerica Pet Store	Grooming supplies	2024-01-13	12.95
6	Pet Kingdom	Grooming supplies	2024-01-13	64.60
6	Unleashed by Petco	Grooming supplies	2023-11-30	8.25
8	Pet Kingdom	Grooming supplies	2023-11-07	19.82
10	Unleashed by Petco	Grooming supplies	2023-11-13	6.03
20	Dr Smith	Grooming supplies	2023-12-12	2.53
21	Dr Arnold	Grooming supplies	2024-01-30	273.22
21	Dr Jones	Grooming supplies	2024-02-08	203.25
23	Canine Learning Centers	Grooming supplies	2024-02-05	19.91
23	Dr Towers	Grooming supplies	2024-02-14	279.62
27	Dr Smith	Grooming supplies	2024-01-21	37.60
29	Canine Learning Centers	Grooming supplies	2024-01-10	31.14
29	Pawerica Pet Store	Grooming supplies	2024-01-10	19.36
32	Dr Rozenman	Grooming supplies	2024-01-14	299.75
33	Dr Brown	Grooming supplies	2024-01-20	91.30
33	TagWorks	Grooming supplies	2024-01-20	15.93
35	Kahoots Pet	Grooming supplies	2024-01-20	72.83
37	Decker's Dog and Cat	Grooming supplies	2024-01-18	22.52
37	Dr Smith	Grooming supplies	2024-01-18	137.73
40	Dr Brown	Grooming supplies	2024-02-10	232.17
40	Pawerica Pet Store	Grooming supplies	2024-02-01	15.23
41	Decker's Dog and Cat	Grooming supplies	2024-02-28	0.88
41	Dr Hudson	Grooming supplies	2024-02-21	178.36
43	Arrieros Pet Shop	Grooming supplies	2024-02-23	19.67
43	Dr Jones	Grooming supplies	2024-02-23	98.49
45	Dr Arnold	Grooming supplies	2024-05-07	116.97
45	Dr Brown	Grooming supplies	2024-03-10	199.62
45	Dr Rozenman	Grooming supplies	2024-03-30	74.33
45	Pet Kingdom	Grooming supplies	2024-03-25	7.20
45	TagWorks	Grooming supplies	2024-04-12	59.94
46	Arrieros Pet Shop	Grooming supplies	2024-02-20	11.40
48	Decker's Dog and Cat	Grooming supplies	2024-03-10	9.22
49	Arrieros Pet Shop	Grooming supplies	2024-03-16	60.06
49	Pet Group Inc	Grooming supplies	2024-03-16	3.45
51	Dr Jones	Grooming supplies	2024-03-18	288.51
54	Pet Group Inc	Grooming supplies	2024-03-08	6.49
57	Pawerica Pet Store	Grooming supplies	2024-03-28	5.74
58	Dr Towers	Grooming supplies	2024-03-26	133.64
58	Pet Group Inc	Grooming supplies	2024-04-08	37.98
59	Arrieros Pet Shop	Grooming supplies	2024-05-13	64.26
59	Canine Learning Centers	Grooming supplies	2024-04-21	57.89
60	Kahoots Pet	Grooming supplies	2024-03-15	1.54
60	Pet Group Inc	Grooming supplies	2024-03-15	45.17
61	TagWorks	Grooming supplies	2024-03-30	22.63
63	Dr Brown	Grooming supplies	2024-03-22	177.57
64	Dr Towers	Grooming supplies	2024-04-04	286.00
66	Arrieros Pet Shop	Grooming supplies	2024-04-25	39.10
66	Dr Hudson	Grooming supplies	2024-04-25	20.93
66	Dr Smith	Grooming supplies	2024-04-25	202.68
69	Pet Group Inc	Grooming supplies	2024-04-12	6.65
70	Dr Rozenman	Grooming supplies	2024-04-21	270.47
70	Dr Towers	Grooming supplies	2024-04-21	266.18
72	Dr Hudson	Grooming supplies	2024-06-07	198.21
72	Pawerica Pet Store	Grooming supplies	2024-05-10	36.00
72	Pet Kingdom	Grooming supplies	2024-06-07	7.25
76	Pet Group Inc	Grooming supplies	2024-05-10	49.86
77	Petco	Grooming supplies	2024-05-14	19.92
78	Dr Towers	Grooming supplies	2024-05-17	8.46
79	TagWorks	Grooming supplies	2024-05-17	31.56
80	Dr Jones	Grooming supplies	2024-05-25	296.88
80	Kahoots Pet	Grooming supplies	2024-05-25	64.75
81	Decker's Dog and Cat	Grooming supplies	2024-06-11	39.95
81	Dr Wilson	Grooming supplies	2024-06-10	285.24
88	Dr Rozenman	Grooming supplies	2024-06-19	267.98
88	Dr Wilson	Grooming supplies	2024-06-18	218.44
90	Dr Brown	Grooming supplies	2024-06-21	272.60
90	Kahoots Pet	Grooming supplies	2024-06-20	19.38
90	Pawerica Pet Store	Grooming supplies	2024-06-21	64.71
91	Pet Group Inc	Grooming supplies	2024-06-13	19.81
92	Canine Learning Centers	Grooming supplies	2024-07-19	8.97
92	Dr Arnold	Grooming supplies	2024-07-19	31.09
92	Unleashed by Petco	Grooming supplies	2024-07-08	9.64
93	Dr Wilson	Grooming supplies	2024-06-30	197.06
95	Canine Learning Centers	Grooming supplies	2024-07-20	5.59
95	Dr Jones	Grooming supplies	2024-07-24	239.41
95	Dr Wilson	Grooming supplies	2024-07-20	194.03
95	Pet Group Inc	Grooming supplies	2024-07-04	38.82
95	Pet Kingdom	Grooming supplies	2024-06-29	6.43
98	Decker's Dog and Cat	Grooming supplies	2024-07-06	24.33
100	Dr Smith	Grooming supplies	2024-07-25	143.83
103	Dr Brown	Grooming supplies	2024-08-15	119.15
103	Dr Wilson	Grooming supplies	2024-08-08	157.87
104	Dr Arnold	Grooming supplies	2024-09-13	205.58
104	Dr Arnold	Grooming supplies	2024-09-15	292.85
104	Dr Towers	Grooming supplies	2024-09-13	55.02
106	Arrieros Pet Shop	Grooming supplies	2024-11-09	20.32
106	Canine Learning Centers	Grooming supplies	2024-08-09	17.22
106	Decker's Dog and Cat	Grooming supplies	2024-10-08	7.65
